Participant,Pretest.Type,Motivation.Score,Strategy.Score,Pretest.Score,Posttest.Score,Avg.PupilSize,text_1.Hit,text_1.Duration,text_2.Hit,text_2.Duration,text_3.Hit,text_3.Duration,text_4.Hit,text_4.Duration,text_5.Hit,text_5.Duration,text_6.Hit,text_6.Duration,text_7.Hit,text_7.Duration,table.Hit,table.Duration,membrane_top.Hit,membrane_top.Duration,membrane_bottom.Hit,membrane_bottom.Duration,membrane_left.Hit,membrane_left.Duration,membrane_right.Hit,membrane_right.Duration,k_1.Hit,k_1.Duration,k_2.Hit,k_2.Duration,k_3.Hit,k_3.Duration,k_4.Hit,k_4.Duration,k_5.Hit,k_5.Duration,k_6.Hit,k_6.Duration,k_7.Hit,k_7.Duration,formula_1.Hit,formula_1.Duration,formula_2.Hit,formula_2.Duration,formula_3.Hit,formula_3.Duration,cl_1.Hit,cl_1.Duration,cl_2.Hit,cl_2.Duration,cl_3.Hit,cl_3.Duration,channel_1.Hit,channel_1.Duration,channel_2.Hit,channel_2.Duration,channel_3.Hit,channel_3.Duration,channel_4.Hit,channel_4.Duration,channel_5.Hit,channel_5.Duration,graph_1.Hit,graph_1.Duration,graph_2.Hit,graph_2.Duration,K+ ions.Hit,K+ ions.Duration,electrical gradient.Hit,electrical gradient.Duration,Na channel.Hit,Na channel.Duration,chemical gradient.Hit,chemical gradient.Duration,Resting membrane potential.Hit,Resting membrane potential.Duration,Na-K Pump.Hit,Na-K Pump.Duration,k channel.Hit,k channel.Duration,cl channel.Hit,cl channel.Duration,Cl- ions.Hit,Cl- ions.Duration,permeability.Hit,permeability.Duration,axon.Hit,axon.Duration,na ions.Hit,na ions.Duration,neuron.Hit,neuron.Duration,diffusion.Hit,diffusion.Duration
Fettercairn_2_1,S,32,33,4,4,11.91705253,1,75,18,3457,5,3392,71,18788,5,1997,12,6279,0,0,1,492,32,11767,87,21939,35,9686,79,24016,0,0,14,2586,44,10403,13,2044,21,6315,12,1947,2,199,80,17324,30,11298,39,9054,22,5363,2,427,38,7702,127,30769,32,7245,3,1089,43,8192,2,150,34,7700,14,2287,56,14936,109,31100,13,2731,60,16950,58,13713,3,448,12,2558,20,4597,17,3262,17,2820,0,0,1,244,2,423,17,6174
Fettercairn_2_2,S,30,32,4,6,12.93700433,5,2084,56,29129,0,0,18,4585,7,4509,17,4910,2,179,4,858,71,43688,64,30580,43,23152,57,25031,2,2538,27,17827,36,16085,57,33744,51,28641,31,8130,0,0,113,38885,24,7454,123,42702,26,23991,2,591,32,8909,193,87585,40,17326,9,2762,48,24337,11,8476,17,4161,27,5168,113,50864,113,42558,20,7207,27,11395,51,17504,8,2884,12,3589,12,3906,19,5915,31,10028,2,492,4,2148,0,0,9,3292
Fettercairn_3_1,S,33,36,1,5,13.27066873,5,2922,10,2085,2,408,13,2461,2,132,3,611,0,0,1,56,39,8781,84,11541,8,1043,30,6030,1,164,3,382,17,2364,52,12775,9,1113,3,374,3,318,21,5163,19,5354,57,6710,2,143,7,1392,22,4512,204,47878,2,314,10,1394,2,251,4,557,10,1169,13,2064,0,0,31,5623,102,22595,29,4333,66,15712,15,1686,44,9752,91,21212,4,1171,9,1294,1,95,48,7462,5,575,8,1817
Fettercairn_3_2,S,31,27,2,6,17.92493631,3,706,41,16830,22,6856,15,6304,17,5203,16,6744,0,0,3,1077,41,11121,41,14112,13,4742,32,9976,0,0,2,347,25,6466,10,2879,36,7772,12,3023,0,0,106,30981,50,14833,104,26404,43,10396,0,0,36,9522,40,12671,13,2777,11,2259,45,10254,15,3437,12,2159,30,18196,6,1717,37,10763,119,34462,25,4261,51,9947,17,2613,97,29404,190,65975,9,1207,38,6068,8,931,82,28087,7,1131,24,3887
Glenfiddich_1_1,T,31,33,0,3,16.6125558,7,2350,32,11301,17,6926,28,6336,19,7312,26,10066,3,906,7,1362,49,20715,51,15658,18,5575,46,16542,4,1061,16,7006,23,6793,23,10333,20,5915,16,4576,12,2810,205,53490,75,22669,135,34922,66,20855,1,147,54,14173,142,44862,31,10708,14,4624,73,21153,17,6743,25,6029,57,26053,79,18113,48,12448,104,30412,50,13064,86,22358,22,8184,20,5726,13,2460,19,5632,34,9154,25,5650,135,33139,807,203588,9,2292
Glenfiddich_1_2,T,30,29,0,6,12.82017381,0,0,16,4228,10,752,23,3417,5,769,6,1033,0,0,8,993,17,2114,26,9677,8,935,64,13310,0,0,4,803,12,2023,6,1465,2,341,25,4859,7,1274,36,5776,14,2916,13,1953,2,454,1,80,5,599,208,52705,8,1316,8,1698,11,1952,1,55,31,7197,82,14819,66,34892,21,6135,40,7300,78,23641,51,13713,1,68,18,4393,0,0,4,452,16,2339,20,4992,37,14777,637,189061,1,103
Glenfiddich_2_1,S,30,29,0,4,18.59806897,1,164,20,9650,13,8039,24,5172,31,10741,1,184,3,340,18,7510,50,20343,56,22963,34,17031,38,15944,3,250,15,5963,15,3860,14,5059,22,10954,9,2877,2,735,126,39898,66,26243,146,34502,25,9086,1,291,46,19901,126,45201,21,5736,23,11667,34,14084,13,6328,61,23833,33,6445,6,3027,15,8568,13,4369,224,121389,21,6802,7,2778,11,4976,5,1488,25,8421,24,10325,1,207,5,2728,4,3495,12,7141
Glenfiddich_2_2,T,29,27,0,2,14.87748284,6,2142,31,6613,2,347,17,6047,18,4931,1,467,0,0,1,303,93,44475,76,23982,21,5009,59,16624,6,2684,3,2609,9,3146,27,11071,47,8403,16,5448,1,80,158,53005,111,19413,0,0,33,11977,3,409,35,12363,61,18152,50,17189,6,1803,84,47023,11,2799,2,260,0,0,0,0,73,30688,33,16319,211,63270,31,10500,1,127,39,12731,36,9880,78,33052,46,18981,2,378,0,0,8,3947,0,0
Glenfiddich_3_1,S,34,33,3,5,13.60781838,11,2336,57,18089,24,6578,35,4516,34,9610,24,6111,0,0,7,2323,72,20678,75,17964,11,2405,43,10163,6,2506,23,4662,22,4505,36,8343,49,12062,32,7303,3,796,140,35570,111,28624,187,54700,82,20173,2,231,62,11230,184,44746,30,9647,17,3411,88,24457,21,5817,17,3062,30,7547,24,5240,155,35342,37,8543,94,21475,124,27120,55,11847,73,17067,248,56392,22,5145,109,25779,57,13046,118,31540,6,909,52,10075
Glenfiddich_3_2,S,32,32,0,0,13.60631917,2,345,35,14279,15,7494,56,17149,21,7401,38,15452,0,0,13,6092,44,14810,54,13922,16,5237,36,9099,4,2317,23,7091,33,13623,19,6243,34,9121,22,6391,9,2182,103,30771,73,23809,165,55142,52,28778,0,0,43,13770,109,42523,35,10998,6,1277,73,21784,10,4271,35,7234,60,23787,10,1311,89,20052,38,9255,78,18339,164,49242,18,6012,27,7208,222,58938,2,734,79,21184,17,5618,85,25759,10,3891,17,4205
Inchgower_1_1,S,29,38,0,4,14.52192896,9,3859,20,10814,23,13471,31,9434,5,968,20,11703,2,847,3,417,31,24382,51,19923,4,2884,40,21116,1,115,10,6527,14,6396,13,10473,27,13448,17,8149,8,5329,67,34730,48,20616,64,27128,18,5407,2,591,41,16078,72,40887,20,9497,10,6677,31,11010,12,8132,34,10013,47,25136,5,809,29,11490,11,3101,377,170403,47,14259,25,10538,19,9007,20,16383,10,4100,15,2951,1,224,26,12973,58,25563,4,579
